day.night,date,plot_id,flux_type,temperature
day,2023-12-05,SA_2200east1,ambient,21.2546467391304
day,2023-12-05,SA_2200east1,nee,20.89541375
day,2023-12-05,SA_2200east1,reco,21.8839069230769
day,2023-12-05,SA_2200east2,ambient,22.5151978494624
day,2023-12-05,SA_2200east2,nee,22.9108024242424
day,2023-12-05,SA_2200east2,reco,23.1148347107438
day,2023-12-05,SA_2200east3,ambient,19.1836663043478
day,2023-12-05,SA_2200east3,nee,21.7957849056604
day,2023-12-05,SA_2200east3,reco,20.1262933333333
day,2023-12-05,SA_2200east4,ambient,18.4248622222222
day,2023-12-05,SA_2200east4,nee,20.3029840336134
day,2023-12-05,SA_2200east4,reco,19.9004333333333
day,2023-12-05,SA_2200east5,ambient,17.8029188841202
day,2023-12-05,SA_2200east5,nee,20.4099957654723
day,2023-12-05,SA_2200east5,reco,19.8433239316239
day,2023-12-05,SA_2200west1,ambient,22.2697945355191
day,2023-12-05,SA_2200west1,nee,24.29985625
day,2023-12-05,SA_2200west1,reco,23.2445286885246
day,2023-12-05,SA_2200west2,ambient,24.7146604395604
day,2023-12-05,SA_2200west2,nee,22.8473776859504
day,2023-12-05,SA_2200west2,reco,24.3706783333333
day,2023-12-05,SA_2200west3,ambient,22.83332
day,2023-12-05,SA_2200west3,nee,26.0766147540984
day,2023-12-05,SA_2200west3,reco,24.9973297520661
day,2023-12-05,SA_2200west4,ambient,24.2330395604396
day,2023-12-05,SA_2200west4,nee,24.4433866666667
day,2023-12-05,SA_2200west4,reco,25.1175462809917
day,2023-12-05,SA_2200west5,ambient,24.222806741573
day,2023-12-05,SA_2200west5,nee,23.5879479338843
day,2023-12-05,SA_2200west5,reco,25.995703968254
day,2023-12-08,SA_2600east1,ambient,21.4400244680851
day,2023-12-08,SA_2600east1,nee,22.826375
day,2023-12-08,SA_2600east1,reco,23.8740590163934
day,2023-12-08,SA_2600east2,ambient,22.3175147368421
day,2023-12-08,SA_2600east2,nee,22.8260601626016
day,2023-12-08,SA_2600east2,reco,24.4778918032787
day,2023-12-08,SA_2600east3,nee,24.0174745901639
day,2023-12-08,SA_2600east3,reco,23.026932231405
day,2023-12-08,SA_2600east4,ambient,22.1184184782609
day,2023-12-08,SA_2600east4,nee,23.6186783333333
