Date,Site,Treatment,Plot,Flux,camb,tav,pav,wav,nee_lm,nee_exp,LM rsqd,non-linear sigma,aic_lm,aic_nlm,Veg_temp,Soil_temp,PAR,Moisture,Amb_temp,ph
12-Mar-20,WAY,C,1,P,158.740799,-65.68851064,70.65595745,16.00659574,6.232561789,-48.79462709,0.9520949909,0.4788569568,121.784665,99.53279737,18.22,14.6,3327,90.6,,6.1
12-Mar-20,WAY,C,2,P,156.1109694,-65.65777778,70.62222222,16.28722222,2.91185104,119.8152146,0.86324431,0.4161869179,64.20018558,69.04403514,21.22,14.05,3634,100,,6.8
12-Mar-20,WAY,C,3,P,157.8356516,-65.64351648,70.59912088,17.52428571,5.510101487,4.492649956,0.9058362958,0.7181292521,116.4973906,134.5058458,9.92,14.7,5037,74.5,22.8,6.1
12-Mar-20,WAY,C,4,P,159.4062594,-65.68445652,70.57521739,14.00652174,-1.463782453,-0.6702584864,0.6779867519,0.4509411022,47.03201796,78.66830588,19.2,15.7,1649,96.96,20.9,6.9
12-Mar-20,WAY,C,5,P,158.830755,-65.62931373,70.54558824,14.34607843,0.5004317198,-59.27785671,0.1705598111,0.4399125533,88.2248358,87.65716306,10.04,15.35,1050,86.3,15.7,6.9
12-Mar-20,WAY,C,1,R,158.7590305,-65.6719,70.6535,15.5451,-4.6200164,-3.119029681,0.9169415587,0.8595756681,120.9531551,181.4379682,17.86,14,5,90.6,17.5,6.1
12-Mar-20,WAY,C,2,R,156.1247675,-65.64758242,70.61945055,15.26582418,-6.180530104,-4.924382588,0.9703867877,0.6940425303,85.08924354,151.4911818,18.14,15.05,2,100,,6.8
12-Mar-20,WAY,C,3,R,157.840804,-65.64722222,70.59555556,13.701,-4.883635143,-3.266669962,0.9636219727,0.8032681775,66.55091938,171.9529359,9.94,14.7,8,74.5,,6.1
12-Mar-20,WAY,C,4,R,159.4403221,-65.64318681,70.57417582,13.41340659,-3.522956523,-16.54221702,0.9473066149,0.3248596939,47.73718944,45.21160093,12.94,15.8,9,96.96,22.3,7.2
12-Mar-20,WAY,C,5,R,158.8272904,-65.64168539,70.54292135,13.92179775,-2.850781043,-2.159029831,0.8622145907,0.5478616082,92.74109257,118.3797081,13.6,15.35,10,86.3,17.9,6.9
