year,month,day,site,treatment,plot_id,collar_position,t_start,t_finish,date,time,t_start_recording,t_finish_recording,collar_heigth_ave,t_ave,p_ave,w_ave,linear_model,linear_model_rsqd,linear_model_aic
2018,March,15,ACJ,B,1,A,10,80,2018-03-15,15:24,15:24:46,15:25:57,0.08225,39.35930693,59.59267327,25.3629703,-0.862896271,0.994932201,154.5609407
2018,March,15,ACJ,B,1,B,10,80,2018-03-15,15:27,15:27:41,15:28:52,0.08,46.70807339,60.98770642,25.04669725,-2.045947283,0.994580377,287.6264515
2018,March,15,ACJ,B,2,A,10,80,2018-03-15,15:30,15:30:59,15:32:10,0.07225,51.05178947,61.23726316,27.658,-2.203311249,0.989609348,361.1917441
2018,March,15,ACJ,B,2,B,10,80,2018-03-15,15:33,15:33:15,15:34:26,0.0695,51.00684783,61.26891304,27.79586957,-1.645737747,0.997186665,230.7934007
2018,March,15,ACJ,B,3,A,10,80,2018-03-15,15:39,15:39:39,15:40:50,0.069,51.00946809,61.54712766,28.08531915,-1.162749144,0.997483481,174.2903469
2018,March,15,ACJ,B,3,B,10,80,2018-03-15,15:35,15:36:02,15:37:13,0.074,51.00921348,61.45292135,26.88325843,-1.068888982,0.996797813,168.296431
2018,March,15,ACJ,B,4,A,10,80,2018-03-15,15:42,15:42:09,15:43:20,0.0835,51.01072917,61.950625,28.2346875,-0.988975398,0.99442066,179.9535006
2018,March,15,ACJ,B,4,B,10,80,2018-03-15,15:44,15:44:40,15:45:51,0.07375,51.01233645,61.93981308,27.63869159,-1.01273573,0.997788751,135.6750179
2018,March,15,ACJ,B,5,A,10,80,2018-03-15,15:48,15:48:11,15:49:22,0.09075,51.01156627,61.08,24.80445783,-1.354551162,0.996517268,181.9418622
2018,March,15,ACJ,B,5,B,10,80,2018-03-15,15:50,15:50:18,15:51:29,0.08,51.01416667,61.65885417,27.70614583,-1.781284822,0.997901953,201.7833661
2018,March,18,ACJ,C,1,A,10,74,2018-03-18,16:05,16:05:30,16:06:35,0.0753,51.02337838,59.88283784,20.47175676,-0.852510925,0.992221191,173.9639685
2018,March,18,ACJ,C,1,B,10,67,2018-03-18,16:03,16:03:49,16:04:47,0.071,51.02238806,59.87328358,20.39701493,-0.701831205,0.987440178,153.9058166
2018,March,18,ACJ,C,2,A,10,68,2018-03-18,16:01,16:01:33,16:02:32,0.069,51.0225,59.95735294,20.30588235,-0.587451392,0.991888567,115.1678367
2018,March,18,ACJ,C,2,B,10,74,2018-03-18,15:59,15:59:55,16:01:00,0.0677,51.02148649,59.94959459,19.55108108,-0.573660425,0.989756566,154.334976
2018,March,18,ACJ,C,3,A,10,78,2018-03-18,15:57,15:57:14,15:58:23,0.064,51.02064103,60.0125641,20.33166667,-0.509122465,0.994175392,120.9732577
2018,March,18,ACJ,C,3,B,10,64,2018-03-18,15:54,15:54:56,15:55:50,0.076,51.020625,60.05578125,18.65390625,-0.765559124,0.99250374,112.2249665
2018,March,18,ACJ,C,4,A,10,65,2018-03-18,15:52,15:52:49,15:53:45,0.0747,51.01892308,60.01492308,17.83292308,-0.571169422,0.992085328,89.66816055
2018,March,18,ACJ,C,4,B,10,63,2018-03-18,15:51,15:51:27,15:52:20,0.076,51.01809524,60.00301587,18.03698413,-0.477561691,0.986195585,90.68668659
