tier,site,plot_id,vegHeight,coverSum,HeightXCover
Peru_2018,PIL,PE_PIL_BB_3,28.2,100.5,2834.1
Peru_2018,PIL,PE_PIL_B_1,25.4,84,2133.6
Peru_2018,PIL,PE_PIL_B_2,33,76.5,2524.5
Peru_2018,PIL,PE_PIL_B_3,22.8,85.5,1949.4
Peru_2018,PIL,PE_PIL_B_4,28,85,2380
Peru_2018,PIL,PE_PIL_B_5,19.2,88.5,1699.2
Peru_2018,PIL,PE_PIL_C_1,32.6,97.5,3178.5
Peru_2018,PIL,PE_PIL_C_2,42.7,70,2989
Peru_2018,PIL,PE_PIL_C_3,23.6,89.5,2112.2
Peru_2018,PIL,PE_PIL_C_4,31,77,2387
Peru_2018,PIL,PE_PIL_C_5,38,98.5,3743
Peru_2018,QUE,PE_QUE_B_1,17.8,86.5,1539.7
Peru_2018,QUE,PE_QUE_B_2,18.8,86.5,1626.2
Peru_2018,QUE,PE_QUE_B_3,11.6,79,916.4
Peru_2018,QUE,PE_QUE_B_4,10.2,94,958.8
Peru_2018,QUE,PE_QUE_B_5,19,110,2090
Peru_2018,TRE,PE_TRE_C_1,20.8,89.5,1861.6
Peru_2018,TRE,PE_TRE_C_2,31,85.5,2650.5
Peru_2018,TRE,PE_TRE_C_3,26,112.5,2925
Peru_2018,TRE,PE_TRE_C_4,33,81,2673
Peru_2018,TRE,PE_TRE_C_5,31.6,93,2938.8
Peru_2018,WAY,PE_WAY_B_1,,96.5,
Peru_2018,WAY,PE_WAY_B_2,,101,
Peru_2018,WAY,PE_WAY_B_3,,48.5,
Peru_2018,WAY,PE_WAY_B_4,,64,
Peru_2018,WAY,PE_WAY_B_5,,81.5,
Peru_2018,WAY,PE_WAY_C_1,,102.5,
Peru_2018,WAY,PE_WAY_C_2,,93,
Peru_2018,WAY,PE_WAY_C_3,,146.5,
Peru_2018,WAY,PE_WAY_C_4,,89,
Peru_2018,WAY,PE_WAY_C_5,,106,
Peru_2019,ACJ,PE_ACJ_B_1,33.2,605,20086
Peru_2019,ACJ,PE_ACJ_B_1,19.8,605,11979
Peru_2019,ACJ,PE_ACJ_B_2,22.4,635,14224
Peru_2019,ACJ,PE_ACJ_B_2,26.4,635,16764
Peru_2019,ACJ,PE_ACJ_B_3,42.2,680,28696
Peru_2019,ACJ,PE_ACJ_B_3,23.6,680,16048
Peru_2019,ACJ,PE_ACJ_B_4,26.8,530,14204
Peru_2019,ACJ,PE_ACJ_B_4,24,530,12720
Peru_2019,ACJ,PE_ACJ_B_5,21.4,660,14124
Peru_2019,ACJ,PE_ACJ_B_5,21.8,660,14388
Peru_2019,ACJ,PE_ACJ_C_1,45.6,746,34017.6
Peru_2019,ACJ,PE_ACJ_C_1,24,746,17904
Peru_2019,ACJ,PE_ACJ_C_2,42.4,676,28662.4
Peru_2019,ACJ,PE_ACJ_C_2,33.6,676,22713.6
Peru_2019,ACJ,PE_ACJ_C_3,30,593,17790
Peru_2019,ACJ,PE_ACJ_C_3,25.4,593,15062.2
