Gradient,Tier,Site,PlotID,Trait,n,mean,ci_low_mean,ci_high_mean,var,ci_low_var,ci_high_var,skew,ci_low_skew,ci_high_skew,kurt,ci_low_kurt,ci_high_kurt
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,c_percent,100,47.2908646562561,47.1407406722642,47.4409886402481,4.39468872687484,3.52949002336135,5.25988743038834,-0.280952234005743,-0.896408108162064,0.334503640150578,4.63262127417135,2.93575677792808,6.32948577041463
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,cn_ratio,100,50.9547197015883,49.6437118564906,52.2657275466861,362.661076574525,313.87031085891,411.451842290139,1.28423248184322,1.13221820695449,1.43624675673195,1.72358058617011,1.06412526271338,2.38303590962684
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,cp_ratio,100,2484.80634589796,2172.50781703283,2797.10487476308,25609676.0333165,20594612.4961925,30624739.5704404,3.14553985808635,2.70373712831566,3.58734258785704,8.22534261450209,5.26670231522883,11.1839829137754
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,dry_mass_g,100,0.0460508046868057,0.0438327924918918,0.0482688168817195,0.000848972857782237,0.000763403693744677,0.000934542021819796,0.411386052024631,0.117686505154715,0.705085598894548,-0.242500759268685,-1.9553793357188,1.47037781718144
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,ldmc,100,0.475576852014694,0.468875867252713,0.482277836776675,0.00986557202897559,0.00847111751668917,0.011260026541262,-0.938764414441808,-1.1617256350951,-0.715803193788516,1.79865244797551,1.21077614461501,2.386528751336
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,leaf_area_cm2,100,2.03716727133989,1.91716471295813,2.15716982972165,2.36932758986701,1.37625841645116,3.36239676328286,3.21274270641649,1.91348288860136,4.51200252423163,18.1490747726874,4.84481032395058,31.4533392214242
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,n_percent,100,1.05802401033363,1.03611578040505,1.07993224026221,0.14962085228119,0.125725408757545,0.173516295804835,1.53924884664328,1.29139017719272,1.78710751609385,4.22946289845438,2.66990744027336,5.7890183566354
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,np_ratio,100,56.0334700489371,46.7006114878449,65.3663286100294,15958.026254676,12156.6443054846,19759.4082038675,3.30218804771689,2.754533094466,3.84984300096779,9.31419940890561,5.50226856555057,13.1261302522607
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,p_percent,100,0.057769314667313,0.0548634348601935,0.0606751944744326,0.00166070866892934,0.0013399828975834,0.00198143444027527,1.97202716903937,1.4627430229054,2.48131131517334,5.32422842694666,1.21483875576103,9.43361809813229
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,plant_height_cm,100,41.3335,39.9308764661258,42.7361235338742,501.411958291457,478.697527882403,524.126388700512,-0.343137409452551,-0.443356163132913,-0.242918655772189,-1.45200359231298,-1.5500168656682,-1.35399031895776
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,sla_cm2_g,100,35.1108845019262,33.6421921983025,36.5795768055499,461.058699257954,404.691541590658,517.425856925249,1.30745797071445,1.02076531266209,1.59415062876681,1.02503945165094,-1.05562157395329,3.10570047725517
Central Andes,Peru_2018,ACJ,PE_ACJ_B_1,wet_mass_g,100,0.0870044599522838,0.0827493332231125,0.091259586681455,0.00410957077524779,0.00218234442712042,0.00603679712337516,3.12769462022514,1.46394017488512,4.79144906556516,20.5526058310466,4.61920655751087,36.4860051045824
Central Andes,Peru_2018,ACJ,PE_ACJ_B_2,c_percent,100,47.3832222017782,47.2464961127763,47.51994829078,5.500750397497,4.66987408230092,6.33162671269308,0.486428486794343,0.158082509108776,0.81477446447991,2.2447244552114,1.3781265531184,3.1113223573044
Central Andes,Peru_2018,ACJ,PE_ACJ_B_2,cn_ratio,100,51.2964088622151,49.910457248202,52.6823604762283,436.307677971522,383.502974592686,489.112381350358,1.07822326158839,0.974143338831172,1.1823031843456,0.940451507232789,0.493390836587513,1.38751217787807
Central Andes,Peru_2018,ACJ,PE_ACJ_B_2,cp_ratio,100,1038.37444542545,1009.0068964488,1067.74199440211,143015.666193082,112116.120509826,173915.211876338,1.47619771621997,0.910074656147168,2.04232077629278,6.6300771125846,4.6677999610886,8.59235426408059
Central Andes,Peru_2018,ACJ,PE_ACJ_B_2,dry_mass_g,100,0.0422528820959596,0.0389734262270392,0.04553233796488,0.00184162968603641,0.00123948861696315,0.00244377075510967,3.21874571648479,2.3148126897599,4.12267874320967,16.4268957566677,7.83580361295621,25.0179879003791
Central Andes,Peru_2018,ACJ,PE_ACJ_B_2,ldmc,100,0.459067368603196,0.452229979237332,0.465904757969059,0.0107281831336756,0.00920321791544717,0.0122531483519039,-0.0644947305434243,-0.388995875608999,0.26000641452215,1.78246157929353,1.00361034849539,2.56131281009166
Central Andes,Peru_2018,ACJ,PE_ACJ_B_2,leaf_area_cm2,100,2.43552473111742,2.27887190555473,2.59217755668012,5.97749502384018,4.22125250232893,7.73373754535144,3.38128183192864,2.91396994731348,3.8485937165438,15.0553168708739,11.1634397465778,18.9471939951699
Central Andes,Peru_2018,ACJ,PE_ACJ_B_2,n_percent,100,1.06659383281532,1.03398519874746,1.09920246688317,0.188851744614191,0.160161804366147,0.217541684862235,1.39623393553244,1.23020012185913,1.56226774920575,2.79857378833966,1.79112182813526,3.80602574854406
