system:index,BurnFreq,DaysSinceFire,LastFire,LastFireDate,date,flux_id,plot_id,tier,.geo
1_000000000000000002f7_000000000000000002f7,0.199434,2335.0,2017572.2222222218,2018-07-26,2024-12-16,SA_2000east1760,SA_2000east1,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.88307794471869,-28.660119284763002],[28.88279149900461,-28.660155099948135],[28.88252785382049,-28.660259694684868],[28.882307994945375,-28.660424743420435],[28.882149423057236,-28.660637108523265],[28.882064760706598,-28.660879885961123],[28.88206074749035,-28.661133750790295],[28.88213770343193,-28.66137849537736],[28.882289503329186,-28.661594637924562],[28.88250406416728,-28.661764973261107],[28.88276430684646,-28.66187594244465],[28.883049515696218,-28.661918712130976],[28.883336987552884,-28.66188987776976],[28.883603839099727,-28.661791734632754],[28.8838288285528,-28.6616320950925],[28.883994046632004,-28.661423666701666],[28.884086342177117,-28.661183040595304],[28.88409836891809,-28.660929370763125],[28.88402917009603,-28.660682849344596],[28.883884254443426,-28.66046309932816],[28.88367515753106,-28.660287612597656],[28.883418523447713,-28.66017035764629],[28.883134779938626,-28.660120667762712],[28.88307794471869,-28.660119284763002]]]}"
1_000000000000000002f8_000000000000000002f8,0.199434,2335.0,2017572.2222222218,2018-07-26,2024-12-16,SA_2000east2761,SA_2000east2,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.883082403819746,-28.660088071055625],[28.882795958190965,-28.66012388624076],[28.882532313085346,-28.660228480977494],[28.8823124542757,-28.660393529713062],[28.882153882434775,-28.660605894815898],[28.88206922010935,-28.66084867225376],[28.882065206894307,-28.661102537082932],[28.88214216281297,-28.661347281669993],[28.882293962665024,-28.661563424217196],[28.882508523439224,-28.66173375955374],[28.882768766040908,-28.661844728737282],[28.883053974805737,-28.661887498423603],[28.883341446576793,-28.661858664062386],[28.883608298044177,-28.661760520925384],[28.883833287430253,-28.661600881385137],[28.883998505460255,-28.6613924529943],[28.884090800977887,-28.661151826887934],[28.88410282771529,-28.660898157055758],[28.88403362891384,-28.660651635637233],[28.88388871330438,-28.66043188562078],[28.883679616454284,-28.660256398890283],[28.883422982447353,-28.660139143938917],[28.88313923902276,-28.660089454055345],[28.883082403819746,-28.660088071055625]]]}"
1_000000000000000002f9_000000000000000002f9,0.194796,2668.0,2017239.3333333335,2017-08-27,2024-12-16,SA_2000east3762,SA_2000east3,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.88308240381975,-28.660056857348255],[28.882795958276258,-28.660092672533388],[28.88253231324915,-28.66019726727012],[28.882312454504966,-28.660362316005696],[28.88215388271127,-28.660574681108525],[28.882069220411065,-28.660817458546386],[28.882065207197204,-28.66107132337556],[28.88214216309296,-28.66131606796262],[28.88229396289982,-28.661532210509822],[28.88250852361012,-28.661702545846367],[28.88276876613431,-28.66181351502991],[28.88305397481421,-28.661856284716237],[28.88334144649966,-28.66182745035502],[28.88360829788758,-28.661729307218003],[28.883833287206652,-28.661569667677764],[28.88399850518746,-28.661361239286926],[28.88409080067762,-28.66112061318056],[28.884102827411436,-28.660866943348385],[28.884033628630593,-28.66062042192986],[28.883888713064295,-28.66040067191341],[28.883679616276453,-28.660225185182902],[28.883422982345945,-28.660107930231543],[28.883139239005832,-28.660058240347972],[28.88308240381975,-28.660056857348255]]]}"
1_000000000000000002fa_000000000000000002fa,0.194796,2668.0,2017239.3333333335,2017-08-27,2024-12-16,SA_2000east4763,SA_2000east4,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.88308240381975,-28.660025643640875],[28.882795958361548,-28.660061458826014],[28.88253231341294,-28.660166053562747],[28.882312454734233,-28.660331102298322],[28.88215388298775,-28.66054346740116],[28.882069220712758,-28.660786244839013],[28.88206520750011,-28.661040109668193],[28.88214216337295,-28.66128485425525],[28.8822939631346,-28.66150099680244],[28.88250852378102,-28.661671332138997],[28.88276876622771,-28.661782301322535],[28.883053974822673,-28.661825071008856],[28.883341446422516,-28.66179623664764],[28.883608297730976,-28.661698093510637],[28.88383328698305,-28.661538453970383],[28.883998504914665,-28.66133002557955],[28.884090800377336,-28.661089399473195],[28.884102827107572,-28.66083572964102],[28.884033628347346,-28.660589208222486],[28.8838887128242,-28.660369458206038],[28.883679616098622,-28.660193971475536],[28.883422982244536,-28.660076716524163],[28.883139238988914,-28.660027026640595],[28.88308240381975,-28.660025643640875]]]}"
1_000000000000000002fb_000000000000000002fb,0.19320582857142857,2782.0,2017125.1999999997,2017-05-05,2024-12-16,SA_2000east5764,SA_2000east5,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.88308240381975,-28.659989970832445],[28.882795958459027,-28.660025786017584],[28.882532313600144,-28.660130380754325],[28.882312454996253,-28.6602954294899],[28.882153883303733,-28.66050779459273],[28.882069221057556,-28.660750572030597],[28.882065207846274,-28.66100443685977],[28.882142163692926,-28.661249181446827],[28.88229396340292,-28.66146532399402],[28.882508523976316,-28.66163565933057],[28.882768766334447,-28.661746628514106],[28.883053974832347,-28.661789398200437],[28.88334144633436,-28.661760563839216],[28.88360829755199,-28.661662420702214],[28.883833286727516,-28.66150278116196],[28.883998504602893,-28.661294352771133],[28.884090800034162,-28.661053726664772],[28.88410282676031,-28.660800056832596],[28.88403362802363,-28.66055353541407],[28.8838887125498,-28.660333785397615],[28.883679615895392,-28.660158298667113],[28.883422982128632,-28.66004104371574],[28.88313923896957,-28.65999135383217],[28.88308240381975,-28.659989970832445]]]}"
1_000000000000000002fc_000000000000000002fc,0.250452,1212.0,2021234.0,2021-08-22,2024-12-16,SA_2000west1765,SA_2000west1,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.88264095281546,-28.661572951706418],[28.882354503128962,-28.661608766891536],[28.882090854288588,-28.66171336162822],[28.881870992364387,-28.66187841036372],[28.88171241827704,-28.6620907754665],[28.881627754752152,-28.662333552904318],[28.881623741480094,-28.662587417733498],[28.88170069848881,-28.662832162320584],[28.88185250049123,-28.663048304867846],[28.88206706430496,-28.663218640204455],[28.882327310593396,-28.663329609388057],[28.88261252339871,-28.663372379074403],[28.882899999242312,-28.663343544713168],[28.88316685449007,-28.66324540157611],[28.883391847063436,-28.663085762035795],[28.8835570674339,-28.6628773336449],[28.883649364258893,-28.662636707538493],[28.883661391166516,-28.662383037706316],[28.88359219138464,-28.662136516287816],[28.8834472737222,-28.661916766271425],[28.883238173909998,-28.661741279540998],[28.882981536267618,-28.661624024589685],[28.882697788823577,-28.66157433470614],[28.88264095281546,-28.661572951706418]]]}"
1_000000000000000002fd_000000000000000002fd,0.250452,1212.0,2021234.0,2021-08-22,2024-12-16,SA_2000west3766,SA_2000west3,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.882703380230208,-28.661532819796946],[28.882416930653388,-28.661568634982057],[28.882153281913954,-28.661673229718748],[28.88193342007393,-28.66183827845425],[28.8817748460473,-28.662050643557023],[28.88169018255483,-28.662293420994846],[28.881686169284315,-28.66254728582402],[28.88176312626357,-28.66279203041111],[28.881914928207863,-28.66300817295837],[28.882129491939445,-28.66317850829498],[28.882389738128236,-28.66328947747857],[28.882674950824335,-28.663332247164917],[28.882962426557864,-28.66330341280369],[28.883229281703457,-28.663205269666637],[28.88345427419067,-28.663045630126327],[28.88361949449788,-28.662837201735428],[28.883711791287542,-28.66259657562902],[28.88372381819056,-28.662342905796837],[28.883654618435187,-28.66209638437835],[28.88350970082823,-28.661876634361956],[28.88330060109609,-28.661701147631522],[28.883043963551962,-28.661583892680206],[28.88276021621657,-28.66153420279666],[28.882703380230208,-28.661532819796946]]]}"
1_000000000000000002fe_000000000000000002fe,0.250452,1212.0,2021234.0,2021-08-22,2024-12-16,SA_2000west4767,SA_2000west4,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.882739053038637,-28.66151498339273],[28.882452603510554,-28.66155079857785],[28.882188954815987,-28.661655393314533],[28.881969093013378,-28.661820442050036],[28.881810519013726,-28.662032807152812],[28.881725855535674,-28.66227558459063],[28.881721842265836,-28.66252944941981],[28.881798799231994,-28.662774194006897],[28.881950601150468,-28.662990336554163],[28.88216516484553,-28.663160671890765],[28.88242541099004,-28.663271641074363],[28.882710623637603,-28.6633144107607],[28.882998099322208,-28.663285576399474],[28.88326495442239,-28.66318743326243],[28.883489946871315,-28.66302779372211],[28.88365516715041,-28.662819365331213],[28.88374746392436,-28.662578739224813],[28.883759490825337,-28.66232506939263],[28.883690291081745,-28.66207854797413],[28.88354537349945,-28.661858797957745],[28.883336273802893,-28.661683311227307],[28.883079636302433,-28.66156605627599],[28.882795889015323,-28.66151636639245],[28.882739053038637,-28.66151498339273]]]}"
1_000000000000000002ff_000000000000000002ff,0.250452,1212.0,2021234.0,2021-08-22,2024-12-16,SA_2000west5768,SA_2000west5,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.88277026674601,-28.661497146988516],[28.882483817266674,-28.66153296217364],[28.882220168616964,-28.661637556910325],[28.88200030685178,-28.66180260564583],[28.881841732879113,-28.66201497074861],[28.881757069415464,-28.66225774818643],[28.881753056146316,-28.662511613015603],[28.881830013099382,-28.66275635760269],[28.881981814992017,-28.662972500149948],[28.882196378650573,-28.663142835486564],[28.88245662475079,-28.66325380467015],[28.88274183734982,-28.6632965743565],[28.8830293129855,-28.663267739995266],[28.88329616804027,-28.66316959685822],[28.883521160450908,-28.663009957317904],[28.883686380701892,-28.662801528927012],[28.88377867746014,-28.662560902820605],[28.883790704359072,-28.66230723298842],[28.88372150462725,-28.66206071156993],[28.883576587069623,-28.661840961553544],[28.88336748740864,-28.6616654748231],[28.88311084995186,-28.661548219871783],[28.88282710271303,-28.661498529988243],[28.88277026674601,-28.661497146988516]]]}"
1_00000000000000000300_00000000000000000300,0.327116691454067,3028.0,2016236.8857142858,2016-08-23,2024-12-07,SA_2200east1769,SA_2200east1,South_Africa_2023,"{""type"":""Polygon"",""coordinates"":[[[28.895130894866167,-28.679025873229616],[28.89484439746329,-28.67906168841452],[28.894580704704268,-28.67916628315061],[28.894360806154747,-28.679331331885344],[28.8942022056507,-28.679543696987405],[28.8941175280207,-28.679786474424777],[28.894113514078313,-28.68004033925394],[28.89419048390535,-28.68028508384143],[28.894342311194837,-28.68050122638938],[28.89455691075176,-28.68067156172678],[28.894817200394307,-28.680782530910985],[28.895102460713332,-28.680825300597597],[28.895389984447696,-28.680796466236185],[28.895656884150675,-28.68069832309857],[28.89588191420469,-28.68053868355749],[28.896047162097695,-28.680330255165863],[28.896139474296497,-28.680089629058983],[28.896151503205836,-28.679835959226736],[28.896082291894775,-28.679589437808605],[28.89593735009041,-28.679369687792896],[28.895728215445487,-28.67919420106324],[28.89547153505226,-28.679076946112566],[28.895187740341935,-28.679027256229325],[28.895130894866167,-28.679025873229616]]]}"
