turfID,type,flux,temp_soil,temp_airavg,PARavg,datetime,fluxID,flag,flux_noflag,time,flux_corrected,warming,origSiteID,destSiteID
85 WN1C 162,ER,105.28250343421549,15.900817610062893,14.515094339622642,0.10471698113207548,2022-07-23T21:49:50Z,2,ok,105.28250343421549,21:49:50,105.28250343421549,W,Joa,Vik
85 WN1C 162,NEE,NA,16.148490566037736,14.562389937106918,24.06798742138365,2022-07-23T21:45:15Z,1,start_error,114.62182441343232,21:45:15,NA,W,Joa,Vik
85 WN1C 162,GPP,NA,NA,NA,24.06798742138365,2022-07-23T21:45:15Z,NA,start_error,NA,21:45:15,NA,W,Joa,Vik
105 WN3C 173,ER,63.90282887526861,16.270817610062892,14.651698113207548,0.43735849056603776,2022-07-23T21:58:55Z,4,ok,63.90282887526861,21:58:55,63.90282887526861,W,Joa,Vik
105 WN3C 173,NEE,54.348379667974996,16.370251572327042,14.621320754716981,21.31955974842767,2022-07-23T21:55:25Z,3,ok,54.348379667974996,21:55:25,-5.947041172811794,W,Joa,Vik
105 WN3C 173,GPP,-9.554449207293615,NA,NA,21.31955974842767,2022-07-23T21:55:25Z,NA,ok,NA,21:55:25,-69.8498700480804,W,Joa,Vik
158 WN2C 199,ER,82.10000916702785,16.17383647798742,14.73440251572327,0.12515723270440252,2022-07-23T22:10:20Z,6,ok,82.10000916702785,22:10:20,82.10000916702785,W,Joa,Vik
158 WN2C 199,NEE,93.71767106259979,16.192075471698114,14.725849056603774,11.621069182389936,2022-07-23T22:06:25Z,5,ok,93.71767106259979,22:06:25,33.422250221813,W,Joa,Vik
158 WN2C 199,GPP,11.617661895571942,NA,NA,11.621069182389936,2022-07-23T22:06:25Z,NA,ok,NA,22:06:25,-48.67775894521485,W,Joa,Vik
TTC 146,ER,56.11398716451276,16.097987421383646,14.652830188679244,0.008490566037735849,2022-07-23T22:20:30Z,8,ok,56.11398716451276,22:20:30,56.11398716451276,A,Vik,Vik
TTC 146,NEE,58.014738855877354,16.383584905660378,14.75748427672956,8.98056603773585,2022-07-23T22:16:55Z,7,ok,58.014738855877354,22:16:55,-2.2806819849094353,A,Vik,Vik
TTC 146,GPP,1.9007516913645972,NA,NA,8.98056603773585,2022-07-23T22:16:55Z,NA,ok,NA,22:16:55,-58.39466914942219,A,Vik,Vik
TTC 140,ER,71.30704206435682,17.070817610062893,14.595157232704404,0.1810691823899371,2022-07-23T22:30:00Z,10,ok,71.30704206435682,22:30:00,71.30704206435682,A,Vik,Vik
TTC 140,NEE,49.971540355292255,17.150000000000002,14.58194968553459,5.70251572327044,2022-07-23T22:26:20Z,9,ok,49.971540355292255,22:26:20,-10.323880485494534,A,Vik,Vik
TTC 140,GPP,-21.335501709064566,NA,NA,5.70251572327044,2022-07-23T22:26:20Z,NA,ok,NA,22:26:20,-81.63092254985136,A,Vik,Vik
TTC 141,ER,18.285820508054286,17.030817610062893,14.618930817610064,0.009433962264150943,2022-07-23T22:38:40Z,12,ok,18.285820508054286,22:38:40,18.285820508054286,A,Vik,Vik
TTC 141,NEE,39.70640521326239,17.044150943396225,14.49811320754717,-0.03836477987421384,2022-07-23T22:34:40Z,11,ok,39.70640521326239,22:34:40,-20.589015627524397,A,Vik,Vik
TTC 141,GPP,21.420584705208107,NA,NA,-0.03836477987421384,2022-07-23T22:34:40Z,NA,ok,NA,22:34:40,-38.87483613557868,A,Vik,Vik
85 WN1C 162,ER,47.14279226681103,15.473836477987422,14.227044025157232,0.009433962264150943,2022-07-23T22:50:20Z,14,ok,47.14279226681103,22:50:20,47.14279226681103,W,Joa,Vik
85 WN1C 162,NEE,44.37902135881061,15.479308176100629,14.207861635220127,0.08522012578616352,2022-07-23T22:46:20Z,13,ok,44.37902135881061,22:46:20,-15.916399481976178,W,Joa,Vik
85 WN1C 162,GPP,-2.763770908000417,NA,NA,0.08522012578616352,2022-07-23T22:46:20Z,NA,ok,NA,22:46:20,-63.05919174878721,W,Joa,Vik
105 WN3C 173,ER,64.59892447918743,15.773207547169811,13.87364779874214,0.6534591194968553,2022-07-23T22:58:30Z,16,ok,64.59892447918743,22:58:30,64.59892447918743,W,Joa,Vik
105 WN3C 173,NEE,124.89434531997422,15.755471698113206,13.913333333333334,-0.2921383647798742,2022-07-23T22:54:55Z,15,ok,124.89434531997422,22:54:55,64.59892447918743,W,Joa,Vik
105 WN3C 173,GPP,60.29542084078679,NA,NA,-0.2921383647798742,2022-07-23T22:54:55Z,NA,ok,NA,22:54:55,0,W,Joa,Vik
158 WN2C 199,ER,59.22712496615678,15.635345911949686,13.213522012578617,0.28238993710691823,2022-07-23T23:08:55Z,18,ok,59.22712496615678,23:08:55,59.22712496615678,W,Joa,Vik
158 WN2C 199,NEE,83.2006270559824,15.555786163522013,13.311635220125787,-0.8908805031446541,2022-07-23T23:05:20Z,17,ok,83.2006270559824,23:05:20,22.905206215195605,W,Joa,Vik
158 WN2C 199,GPP,23.973502089825615,NA,NA,-0.8908805031446541,2022-07-23T23:05:20Z,NA,ok,NA,23:05:20,-36.321918750961174,W,Joa,Vik
TTC 146,ER,53.55470104554781,15.42943396226415,12.905220125786164,0.2949056603773585,2022-07-23T23:19:40Z,20,ok,53.55470104554781,23:19:40,53.55470104554781,A,Vik,Vik
TTC 146,NEE,46.73066928148165,15.310440251572327,12.899056603773584,0.5289308176100629,2022-07-23T23:15:40Z,19,ok,46.73066928148165,23:15:40,-13.564751559305137,A,Vik,Vik
