Date ,tent_type,plot,site,season,par_without_tent,par_with_tent,difference,avg_tent_difference,proportion_light_reduction,,,,,
08.02.2024,Same as 2023,4,Cinnamon,peak,663,460,203,,0.306184012,,,,,
08.02.2024,Same as 2023,5,Cinnamon,peak,910,541,369,,0.405494505,,,,,
06.09.2025,New_Tent_2025,1,ALM,Peak,1900,1285,615,686.48,0.323684211,,,,,
06.09.2025,New_Tent_2025,2,ALM,Peak,1605,868.6,736.4,,0.458816199,,,,,
06.09.2025,New_Tent_2025,3,ALM,Peak,1693,1123,570,,0.336680449,,,,,
06.09.2025,New_Tent_2025,4,ALM,Peak,1809,1238,571,,0.315644002,,,,,
06.09.2025,New_Tent_2025,5,ALM,Peak,2065,1125,940,,0.455205811,,,,,
06.13.2025,New_Tent_2025,1,CBT,Early,1610,919.2,690.8,630.48,0.429068323,,,,,
06.13.2025,New_Tent_2025,2,CBT,Early,1693,1068,625,,0.369167159,,,,,
06.13.2025,New_Tent_2025,3,CBT,Early,1512,852.2,659.8,,0.436375661,,,,,
06.13.2025,New_Tent_2025,4,CBT,Early,1409,934.2,474.8,,0.336976579,,,,,
06.13.2025,New_Tent_2025,5,CBT,Early,1857,1155,702,,0.378029079,,,,,
06.16.2025,New_Tent_2025,1,Road,Early,1726,1120,606,703.48,0.351100811,,,,,
06.16.2025,New_Tent_2025,2,Road,Early,1622,927.5,694.5,,0.428175092,,,,,
06.16.2025,New_Tent_2025,3,Road,Early,1511,754.1,756.9,,0.500926539,,,,,
06.16.2025,New_Tent_2025,4,Road,Early,1810,1015,795,,0.439226519,,,,,
06.16.2025,New_Tent_2025,5,Road,Early,1673,1008,665,,0.39748954,,,,,
06.20.2025,New_Tent_2025,1,Pfeiler ,Early,1750,775,975,841.98,0.557142857,,,,,
06.20.2025,New_Tent_2025,2,Pfeiler ,Early,1382,330,1052,,0.76121563,,,,,
06.20.2025,New_Tent_2025,3,Pfeiler ,Early,1469,678,791,,0.538461538,,,,,
06.20.2025,New_Tent_2025,4,Pfeiler ,Early,1697,934.1,762.9,,0.449558044,,,,,
06.20.2025,New_Tent_2025,5,Pfeiler ,Early,1798,1169,629,,0.349833148,,,,,
06.23.2025,New_Tent_2025,1,CBT,Peak ,876.3,611.5,264.8,559.54,0.302179619,,,,,
06.23.2025,New_Tent_2025,2,CBT,Peak ,1120,615.2,504.8,,0.450714286,,,,,
06.23.2025,New_Tent_2025,3,CBT,Peak ,1521,784.6,736.4,,0.484155161,,,,,
06.23.2025,New_Tent_2025,4,CBT,Peak ,1489,824.3,664.7,,0.446406985,,,,,
06.23.2025,New_Tent_2025,5,CBT,Peak ,1619,992,627,,0.387276096,,,,,
06.27.2025,New_Tent_2025,1,PBM,Early,1728,189.4,1538.6,1083,0.890393519,,,,,
06.27.2025,New_Tent_2025,2,PBM,Early,1756,218.8,1537.2,,0.875398633,,,,,
06.27.2025,New_Tent_2025,3,PBM,Early,1328,638.4,689.6,,0.519277108,,,,,
06.27.2025,New_Tent_2025,4,PBM,Early,1458,600.2,857.8,,0.588340192,,,,,
06.27.2025,New_Tent_2025,5,PBM,Early,1573,781.2,791.8,,0.503369358,,,,,
06.30.2025,New_Tent_2025,1,Road,Peak,1124,718.5,405.5,550.56,0.360765125,,,,,
06.30.2025,New_Tent_2025,2,Road,Peak,1398,794.4,603.6,,0.431759657,,,,,
06.30.2025,New_Tent_2025,3,Road,Peak,1322,754.8,567.2,,0.429046899,,,,,
06.30.2025,New_Tent_2025,4,Road,Peak,1415,869.3,545.7,,0.38565371,,,,,
06.30.2025,New_Tent_2025,5,Road,Peak,1517,886.2,630.8,,0.415820699,,,,,
07.11.2025,New_Tent_2025,1,Pfeiler ,Peak ,1260,651.6,608.4,582.84,0.482857143,,,,,
07.11.2025,New_Tent_2025,2,Pfeiler ,Peak ,1278,347.7,930.3,,0.727934272,,,,,
07.11.2025,New_Tent_2025,3,Pfeiler ,Peak ,1183,506.7,676.3,,0.571682164,,,,,
07.11.2025,New_Tent_2025,4,Pfeiler ,Peak ,1120,995.2,124.8,,0.111428571,,,,,
07.11.2025,New_Tent_2025,5,Pfeiler ,Peak ,1402,827.6,574.4,,0.409700428,,,,,
07.15.2025,New_Tent_2025,1,PBM,Peak,1173,665,508,518.18,0.433077579,,,,,
07.15.2025,New_Tent_2025,2,PBM,Peak,1260,730,530,,0.420634921,,,,,
07.15.2025,New_Tent_2025,3,PBM,Peak,1274,762,512,,0.40188383,,,,,
07.15.2025,New_Tent_2025,4,PBM,Peak,1281,737.4,543.6,,0.424355972,,,,,
07.15.2025,New_Tent_2025,5,PBM,Peak,1216,718.7,497.3,,0.408963816,,,,,
07.25.2025,New_Tent_2025,1,Cinammon,Peak,1126,646.2,479.8,497.1,0.426110124,,,,,
07.25.2025,New_Tent_2025,2,Cinammon,Peak,1175,722.1,452.9,,0.385446809,,,,,
07.25.2025,New_Tent_2025,3,Cinammon,Peak,1221,715.3,505.7,,0.414168714,,,,,
07.25.2025,New_Tent_2025,4,Cinammon,Peak,1276,742.8,533.2,,0.417868339,,,,,
07.25.2025,New_Tent_2025,5,Cinammon,Peak,1260,746.1,513.9,,0.407857143,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
