year,site,date,plot,h1_cm,h2_cm,h3_cm,h4_cm,center_cm,mean,season,notas
2007,ROAD,2007-06-18,5,8,19,14,7,29,15.4,,
2008,ALMONT,2008-06-11,1,18,14,37,14,15,19.6,,
2008,ALMONT,2008-06-11,2,5,6,15,14,7,9.4,,
2008,ALMONT,2008-06-11,3,11,19,39,9,18,19.2,,
2008,ALMONT,2008-06-11,4,12,18,27,25,36,23.6,,
2008,ALMONT,2008-06-11,5,20,41,25,22,27,27,,
2008,ROAD,2008-06-24,1C,27,33,31,20,19,26,,
2008,ROAD,2008-06-24,1W,22,19,28,28,18,23,,
2008,ROAD,2008-06-24,2C,29,15,26,14,20,20.8,,
2008,ROAD,2008-06-24,2W,17,16,26,13,19,18.2,,
2008,ROAD,2008-06-24,3C,40,42,39,27,31,35.8,,
2008,ROAD,2008-06-24,3W,54,26,25,29,34,33.6,,
2008,ROAD,2008-06-24,4C,17,23,22,26,13,20.2,,
2008,ROAD,2008-06-24,4W,27,16,16,12,21,18.4,,
2008,ROAD,2008-06-24,5C,21,24,41,31,36,30.6,,
2008,ROAD,2008-06-24,5W,21,30,26,24,10,22.2,,
2008,CBT,2008-06-16,1,25,22,14,18,9,17.6,,
2008,CBT,2008-06-16,2,32,46,24,29,29,32,,
2008,CBT,2008-06-16,3,48,53,44,47,47,47.8,,
2008,CBT,2008-06-16,4,17,14,14,20,21,17.2,,
2008,CBT,2008-06-16,5,14,15,10,11,17,13.4,,
2008,ROAD,2008-06-24,3C,40,42,39,27,31,35.8,,
2008,ROAD,2008-06-24,3W,37,26,25,29,34,30.2,,
2008,ROAD,2008-06-24,4W,21,27,16,16,12,18.4,,
2008,PFEILER,2008-06-30,1C,68,71,56,57,68,64,,
2008,PFEILER,2008-06-30,1W,64,60,61,58,62,61,,
2008,PFEILER,2008-06-30,2C,45,27,39,47,44,40.4,,
2008,PFEILER,2008-06-30,2W,60,43,33,58,53,49.4,,
2008,PFEILER,2008-06-30,3C,42,29,41,20,42,34.8,,
2008,PFEILER,2008-06-30,3W,50,26,25,36,46,36.6,,
2008,PFEILER,2008-06-30,4C,18,20,39,37,26,28,,
2008,PFEILER,2008-06-30,4W,23,21,17,26,23,22,,
2008,PFEILER,2008-06-30,5C,25,24,15,17,27,21.6,,
2008,PFEILER,2008-06-30,5W,25,37,18,18,15,22.6,,
2008,ALMONT,2008-07-08,1,62,29,19,56,46,42.4,,
2008,ALMONT,2008-07-08,2,7,7,14,18,26,14.4,,
2008,ALMONT,2008-07-08,3,30,13,20,16,21,20,,
2008,ALMONT,2008-07-08,4,38,25,22,29,30,28.8,,
2008,ALMONT,2008-07-08,5,54,52,37,29,25,39.4,,
2008,PFEILER,2008-07-16,1C,70,60,74,89,87,76,,
2008,PFEILER,2008-07-16,1W,84,83,87,84,76,82.8,,
2008,PFEILER,2008-07-16,2C,91,46,59,62,66,64.8,,
2008,PFEILER,2008-07-16,2W,70,51,72,68,68,65.8,,
2008,PFEILER,2008-07-16,3C,42,37,32,25,44,36,,
2008,PFEILER,2008-07-16,3W,79,42,47,23,61,50.4,,
2008,PFEILER,2008-07-16,4C,28,30,33,35,34,32,,
2008,PFEILER,2008-07-16,4W,28,39,61,49,30,41.4,,
2008,PFEILER,2008-07-16,5C,20,25,33,34,35,29.4,,
2008,PFEILER,2008-07-16,5W,26,22,15,24,29,23.2,,
2008,PBM,2008-07-18,1C,115,105,115,80,80,99,,
2008,PBM,2008-07-18,1W,105,45,35,100,100,77,,
2008,PBM,2008-07-18,2C,90,90,83,85,91,87.8,,
2008,PBM,2008-07-18,2W,80,77,100,100,85,88.4,,
2008,PBM,2008-07-18,3C,70,29,63,36,57,51,,
2008,PBM,2008-07-18,3W,27,30,37,30,20,28.8,,
2008,PBM,2008-07-18,4C,44,32,60,23,23,36.4,,
2008,PBM,2008-07-18,4W,21,16,49,29,12,25.4,,
2008,PBM,2008-07-18,5C,23,32,24,17,100,39.2,,
2008,PBM,2008-07-18,5W,15,23,48,75,80,48.2,,
2008,CBT,2008-07-22,1,56,52,37,58,41,48.8,,
2008,CBT,2008-07-22,2,53,61,57,53,52,55.2,,
2008,CBT,2008-07-22,3,63,111,76,61,60,74.2,,
2008,CBT,2008-07-22,4,56,81,74,94,75,76,,
2008,CBT,2008-07-22,5,51,39,46,41,56,46.6,,
2008,ROAD,2008-07-23,1C,36,36,30,37,46,37,,
2008,ROAD,2008-07-23,1W,56,49,77,61,54,59.4,,
2008,ROAD,2008-07-23,2C,27,85,32,46,31,44.2,,
2008,ROAD,2008-07-23,2W,27,27,37,39,20,30,,
2008,ROAD,2008-07-23,3C,47,39,59,60,37,48.4,,
2008,ROAD,2008-07-23,3W,46,54,51,51,48,50,,
2008,ROAD,2008-07-23,4C,34,16,42,55,41,37.6,,
2008,ROAD,2008-07-23,4W,28,28,37,79,49,44.2,,
2008,ROAD,2008-07-23,5C,43,52,46,46,37,44.8,,
2008,ROAD,2008-07-23,5W,51,52,89,45,40,55.4,,
2009,ALMONT,2009-06-08,1,19,7,23,23,22,18.8,,
2009,ALMONT,2009-06-08,2,12,29,29,20,36,25.2,,
2009,ALMONT,2009-06-08,3,24,18,23,25,11,20.2,,
2009,ALMONT,2009-06-08,4,28,42,30,41,26,33.4,,
2009,ALMONT,2009-06-08,5,0,0,0,0,38,7.6,,
2009,CBT,2009-06-15,1,12,8,14,5.5,7.5,23.876,,pulgadas
2009,CBT,2009-06-15,2,21,19,11,25,20,48.768,,pulgadas
2009,CBT,2009-06-15,3,13,10,13,14.5,16,33.782,,pulgadas
2009,CBT,2009-06-15,4,4.5,10,7,7.5,10.5,20.066,,pulgadas
2009,CBT,2009-06-15,5,23,17,27,20,36,62.484,,pulgadas
2009,ROAD,2009-06-16,1,21,22,29,20,16,21.6,,
2009,ROAD,2009-06-16,2,23,19,17,19,31,21.8,,
2009,ROAD,2009-06-16,3,25,23,28,16,28,24,,
2009,ROAD,2009-06-16,4,26,33,50,22,39,34,,
2009,ROAD,2009-06-16,5,18,24,14,32,23,22.2,,
2009,PFEILER,2009-06-23,1,52,54,64,38,57,53,,
2009,PFEILER,2009-06-23,2,63,58,27,70,60,55.6,,
2009,PFEILER,2009-06-23,3,46,16,13,25,22,24.4,,
2009,PFEILER,2009-06-23,4,27,34,17,23,32,26.6,,
2009,PFEILER,2009-06-23,5,24,20,21,17,18,20,,
2009,PBM,2009-06-29,1,63,49,57,63,53,57,,
2009,PBM,2009-06-29,2,57,68,78,67,72,68.4,,
2009,PBM,2009-06-29,3,45,36,37,37,37,38.4,,
2009,PBM,2009-06-29,4,35,22,25,26,39,29.4,,
2009,PBM,2009-06-29,5,44,37,38,37,35,38.2,,
2009,ALMONT,2009-07-07,1,7,6,20,20,16,13.8,late,
2009,ALMONT,2009-07-07,2,25,10,31,15,29,22,,
2009,ALMONT,2009-07-07,3,19,16,21,9,20,17,,
2009,ALMONT,2009-07-07,4,21,37,39,8,6,22.2,,
2009,ALMONT,2009-07-07,5,0,22,0,0,41,12.6,,
2009,ROAD,2009-07-14,1,40,51,44,42,16,38.6,,
2009,ROAD,2009-07-14,2,58,46,49,27,45,45,,
2009,ROAD,2009-07-14,3,44,39,27,30,33,34.6,,
2009,ROAD,2009-07-14,4,29,68,41,56,42,47.2,,
2009,ROAD,2009-07-14,5,57,35,62,43,40,47.4,,
2009,PBM,2009-07-28,1,90,109,118,101,51,93.8,,
2009,PBM,2009-07-28,2,149,119,126,107,131,126.4,,
2009,PBM,2009-07-28,3,57,128,75,76,79,83,,
2009,PBM,2009-07-28,4,44,55,52,59,62,54.4,,
2009,PBM,2009-07-28,5,48,84,68,70,76,69.2,,
2011,ALMONT,2011-06-06,1,16,18,8,6,39,29,,
2011,ALMONT,2011-06-06,2,18,32,16,7.5,34,43.4,,
2011,ALMONT,2011-06-06,3,8,15,10,8,41,36.4,,
2011,ALMONT,2011-06-06,4,12,31,33,37,25,28.8,,
2011,ALMONT,2011-06-06,5,8,17,18,19,13,33.8,,
2011,CBT,2011-06-13,1,24,31,41,32,44,37.4,,
2011,CBT,2011-06-13,2,21,9,29,23,20,20,,
2011,CBT,2011-06-13,3,26,28,38,44,43,29.2,,
2011,CBT,2011-06-13,4,18,12,15,19,16,29,,
2011,CBT,2011-06-13,5,17,18,23,17,10,16,,
2011,ALMONT,2011-06-17,1,17,19,18,9,38,27,,
2011,ALMONT,2011-06-17,2,11,15,30,20,26,42.4,,
2011,ALMONT,2011-06-17,3,13,27,10,11,38,39.2,,
2011,ALMONT,2011-06-17,4,31,28,26,16,23,29.2,,
2011,ALMONT,2011-06-17,5,18,22,15,20,23,42.2,,
2011,ROAD,2011-06-21,1,18,22,20,25,24,22.2,,
2011,ROAD,2011-06-21,2,21,22,24,16,27,33,,
2011,ROAD,2011-06-21,3,18,29,25,22,42,34.8,,
2011,ROAD,2011-06-21,4,31,27,37,29,44,33.8,,
2011,ROAD,2011-06-21,5,31,21,49,40,51,57,,
2011,ALMONT,2011-06-28,1,11,5,42,41,40,23,,
2011,ALMONT,2011-06-28,2,17,37,24,15,28,49.4,,
2011,ALMONT,2011-06-28,3,35,29,6,9,33,58,,
2011,ALMONT,2011-06-28,4,29,21,23,12,22,25.6,,
2011,ALMONT,2011-06-28,5,19,15,21,17,14,33.6,,
2011,CBT,2011-07-01,1,72,53,42,39,77,43.6,,
2011,CBT,2011-07-01,2,29,47,42,42,30,29,,
2011,CBT,2011-07-01,3,39,42,43,54,51,36.6,,
2011,CBT,2011-07-01,4,31,37,25,27,39,34.2,,
2011,CBT,2011-07-01,5,30,35,31,40,28,20.6,,
2011,ROAD,2011-07-01,1,27,19,34,19,23,41,,
2011,ROAD,2011-07-01,2,37,28,13,25,31,48.8,,
2011,ROAD,2011-07-01,3,49,25,25,33,52,47.2,,
2011,ROAD,2011-07-01,4,44,42,48,55,49,19.8,,
2011,ROAD,2011-07-01,5,29,40,86,77,86,15,,
2011,CBT,2011-07-12,1,39,54,65,77,53,31.2,,
2011,CBT,2011-07-12,2,59,49,48,48,54,36,,
2011,CBT,2011-07-12,3,54,66,58,46,76,33.8,,
2011,CBT,2011-07-12,4,50,60,44,46,63,35.4,,
2011,CBT,2011-07-12,5,46,54,54,48,56,75,,
2011,PBM,2011-07-12,1,51,48,39,43,24,36.2,,
2011,PBM,2011-07-12,2,49,53,46,55,52,30.2,,
2011,PBM,2011-07-12,3,56,52,53,58,59,35.8,,
2011,PBM,2011-07-12,4,28,25,18,33,20,36.4,,
2011,PBM,2011-07-12,5,13,15,11,21,17,39,,
2011,PFEILER,2011-07-12,1,66,63,71,37,73,57.8,,
2011,PFEILER,2011-07-12,2,75,89,64,81,89,93.6,,
2011,PFEILER,2011-07-12,3,76,80,74,78,77,87.6,,
2011,PFEILER,2011-07-12,4,47,58,56,68,53,39.8,,
2011,PFEILER,2011-07-12,5,43,37,42,34,47,46,,
2011,ROAD,2011-07-12,1,63,19,40,26,26,54.4,,
2011,ROAD,2011-07-12,2,15,29,25,28,52,37.2,,
2011,ROAD,2011-07-12,3,46,60,32,27,46,43.4,,
2011,ROAD,2011-07-12,4,58,54,65,52,48,48.4,,
2011,ROAD,2011-07-12,5,78,88,100,114,111,33.2,,
2011,CBT,2011-07-25,1,67,64,76,84,80,68.2,,
2011,CBT,2011-07-25,2,62,86,67,52,60,106.2,,
2011,CBT,2011-07-25,3,70,85,71,78,79,97.2,,
2011,CBT,2011-07-25,4,71,71,65,83,114,39.6,,
2011,CBT,2011-07-25,5,74,76,79,79,108,23.6,,
2011,PBM,2011-07-25,1,91,84,72,82,95,47.8,,
2011,PBM,2011-07-25,2,100,79,99,94,98,38.4,,
2011,PBM,2011-07-25,3,116,108,117,112,119,44.8,,
2011,PBM,2011-07-25,4,45,36,37,43,43,42.2,,
2011,PBM,2011-07-25,5,29,32,23,20,23,72,,
2011,PFEILER,2011-07-25,1,11,82,108,117,125,64,,
2011,PFEILER,2011-07-25,2,88,96,90,86,96,95,,
2011,PFEILER,2011-07-25,3,80,104,98,95,106,104,,
2011,PFEILER,2011-07-25,4,88,84,80,93,82,50,,
2011,PFEILER,2011-07-25,5,52,59,68,52,65,58.2,,
2011,ROAD,2011-07-25,1,20,58,56,50,51,115.8,,
2011,ROAD,2011-07-25,2,41,48,37,22,53,101.4,,
2011,ROAD,2011-07-25,3,40,56,44,36,45,42.2,,
2011,ROAD,2011-07-25,4,83,88,81,96,85,26.4,,
2011,ROAD,2011-07-25,5,151,94,89,140,164,40.8,,
2011,CBT,2011-08-03,1,54,86,76,63,65,26.2,,
2011,CBT,2011-08-03,2,78,63,94,79,79,28.6,,
2011,CBT,2011-08-03,3,98,79,91,106,81,42.2,,
2011,CBT,2011-08-03,4,92,93,95,103,117,37.6,,
2011,CBT,2011-08-03,5,98,84,103,93,111,22,,
2011,PBM,2011-08-03,1,74,69,81,94,100,21.4,,
2011,PBM,2011-08-03,2,91,92,108,61,68,20.4,,
2011,PBM,2011-08-03,3,112,115,131,107,134,25.4,,
2011,PBM,2011-08-03,4,45,65,56,52,55,39,,
2011,PBM,2011-08-03,5,47,42,23,21,0,36.4,,
2011,PFEILER,2011-08-03,1,70,116,101,93,89,56,,
2011,PFEILER,2011-08-03,2,64,92,80,86,90,49.4,,
2011,PFEILER,2011-08-03,3,96,110,79,87,83,53,,
2011,PFEILER,2011-08-03,4,91,106,77,91,77,52,,
2011,PFEILER,2011-08-03,5,56,57,52,58,77,40.6,,
2011,ROAD,2011-08-03,1,48,25,38,65,26,62,,
2011,ROAD,2011-08-03,2,22,48,59,32,24,52,,
2011,ROAD,2011-08-03,3,41,41,41,37,60,59.2,,
2011,ROAD,2011-08-03,4,91,92,100,94,84,92.2,,
2011,ROAD,2011-08-03,5,91,105,142,153,171,132.4,,
2012,ALMONT,2012-05-09,5,36,33,9,27,15,24,,
2012,ALMONT,2012-05-09,4,14,23,14,9,12,14.4,,
2012,ALMONT,2012-05-09,3,9,15,15,15,27,16.2,,
2012,ALMONT,2012-05-09,2,11,15,15,15,27,16.6,,
2012,ALMONT,2012-05-09,1,13,53,37,41,42,37.2,,
2012,CBT,2012-05-18,1,13,19,20,18,32,20.4,,
2012,CBT,2012-05-18,2,34,10,8,9,17,15.6,,
2012,CBT,2012-05-18,3,34,20,15,12,35,23.2,,
2012,CBT,2012-05-18,4,16,20,11,13,19,15.8,,
2012,CBT,2012-05-18,5,15,15,14,8,8,12,,
2012,ROAD,2012-05-23,1,12,20,16,14,28,18,,
2012,ROAD,2012-05-23,2,21,18,33,16,20,21.6,,
2012,ROAD,2012-05-23,3,26,24,18,13,24,21,,
2012,ROAD,2012-05-23,4,33,11,15,15,29,20.6,,
2012,ROAD,2012-05-23,5,21,28,30,11,37,25.4,,
2012,PFEILER,2012-05-22,1,15,15,12,13,14,13.8,,
2012,PFEILER,2012-05-22,2,22,25,24,24,25,24,,
2012,PFEILER,2012-05-22,3,26,33,30,25,35,29.8,,
2012,PFEILER,2012-05-22,4,13,15,17,21,15,16.2,,
2012,PFEILER,2012-05-22,5,26,21,31,19,37,26.8,,
2012,ALMONT,2012-05-30,1,34,48,37,39,45,40.6,,
2012,ALMONT,2012-05-30,2,12,14,12,17,30,17,,
2012,ALMONT,2012-05-30,3,12,12,26,10,16,15.2,,
2012,ALMONT,2012-05-30,4,23,15,13,8,11,14,,
2012,ALMONT,2012-05-30,5,25,36,15,30,16,24.4,,
2012,ROAD,2012-06-04,1,21,30,32,25,19,25.4,,
2012,ROAD,2012-06-04,2,21,29,22,26,24,24.4,,
2012,ROAD,2012-06-04,3,30,20,17,21,25,22.6,,
2012,ROAD,2012-06-04,4,22,41,25,19,35,28.4,,
2012,ROAD,2012-06-04,5,51,12,48,33,66,42,,
2012,CBT,2012-06-04,1,34,17,21,16,39,25.4,,
2012,CBT,2012-06-04,2,40,25,13,13,20,22.2,,
2012,CBT,2012-06-04,3,36,18,18,13,42,25.4,,
2012,CBT,2012-06-04,4,20,13,18,17,27,19,,
2012,CBT,2012-06-04,5,11,23,26,18,13,18.2,,
2012,PFEILER,2012-06-07,1,13,16,22,14,24,17.8,,
2012,PFEILER,2012-06-07,2,40,48,49,45,44,45.2,,
2012,PFEILER,2012-06-07,3,55,52,53,31,48,47.8,,
2012,PFEILER,2012-06-07,4,29,33,21,18,19,24,,
2012,PFEILER,2012-06-07,5,23,34,18,29,39,28.6,,
2012,PBM,2012-06-07,1,26,24,21,29,26,25.2,,
2012,PBM,2012-06-07,2,49,41,40,42,50,44.4,,
2012,PBM,2012-06-07,3,52,37,54,45,53,48.2,,
2012,PBM,2012-06-07,4,36,36,17,19,34,28.4,,
2012,PBM,2012-06-07,5,17,19,19,18,20,18.6,,
2012,ALMONT,2012-06-11,1,48,15,41,40,39,36.6,,
2012,ALMONT,2012-06-11,2,12,13,17,30,15,17.4,,
2012,ALMONT,2012-06-11,3,18,12,14,28,23,19,,
2012,ALMONT,2012-06-11,4,9,16,16,22,11,14.8,,
2012,ALMONT,2012-06-11,5,26,11,16,36,13,20.4,,
2012,PBM,2012-06-18,1,31,59,27,25,130,54.4,,
2012,PBM,2012-06-18,2,49,73,70,84,69,69,,
2012,PBM,2012-06-18,3,50,90,90,86,108,84.8,,
2012,PBM,2012-06-18,4,50,47,23,20,35,35,,
2012,PBM,2012-06-18,5,22,28,27,14,23,22.8,,
2012,PFEILER,2012-06-21,1,24,28,23,32,17,24.8,,
2012,PFEILER,2012-06-21,2,35,56,58,63,48,52,,
2012,PFEILER,2012-06-21,3,59,61,66,50,61,59.4,,
2012,PFEILER,2012-06-21,4,37,30,34,33,27,32.2,,
2012,PFEILER,2012-06-21,5,37,31,38,22,37,33,,
2012,ROAD,2012-06-21,1,27,27,34,26,33,29.4,,
2012,ROAD,2012-06-21,2,25,33,27,30,26,28.2,,
2012,ROAD,2012-06-21,3,23,25,15,24,17,20.8,,
2012,ROAD,2012-06-21,4,36,24,13,16,30,23.8,,
2012,ROAD,2012-06-21,5,36,72,74,65,68,63,,
2012,CBT,2012-06-25,1,33,26,45,19,25,29.6,,
2012,CBT,2012-06-25,2,26,39,14,21,24,24.8,,
2012,CBT,2012-06-25,3,27,39,16,20,40,28.4,,
2012,CBT,2012-06-25,4,25,28,17,22,31,24.6,,
2012,CBT,2012-06-25,5,21,26,24,17,33,24.2,,
2012,ALMONT,2012-06-27,1,33,42,35,52,37,39.8,,
2012,ALMONT,2012-06-27,2,12,13,23,15,22,17,,
2012,ALMONT,2012-06-27,3,8,28,0,20,25,16.2,,
2012,ALMONT,2012-06-27,4,19,14,12,6,5,11.2,,
2012,ALMONT,2012-06-27,5,0,23,35,24,13,19,,
2012,ROAD,2012-07-03,1,28,34,35,37,24,31.6,,
2012,ROAD,2012-07-03,2,37,30,38,35,30,34,,
2012,ROAD,2012-07-03,3,27,14,27,11,26,21,,
2012,ROAD,2012-07-03,4,17,25,15,14,22,18.6,,
2012,ROAD,2012-07-03,5,82,34,22,74,67,55.8,,
2012,PBM,2012-07-03,1,68,37,79,33,36,50.6,,
2012,PBM,2012-07-03,2,108,95,96,92,94,97,,
2012,PBM,2012-07-03,3,107,123,142,56,114,108.4,,
2012,PBM,2012-07-03,4,45,51,39,24,40,39.8,,
2012,PBM,2012-07-03,5,26,41,40,39,19,33,,
2012,PFEILER,2012-07-09,1,43,46,37,37,30,38.6,,
2012,PFEILER,2012-07-09,2,67,57,61,44,79,61.6,,
2012,PFEILER,2012-07-09,3,59,65,64,66,72,65.2,,
2012,PFEILER,2012-07-09,4,57,59,68,29,41,50.8,,
2012,PFEILER,2012-07-09,5,55,44,41,26,58,44.8,,
2012,PBM,2012-07-16,1,65,33,50,79,52,55.8,,
2012,PBM,2012-07-16,2,74,89,90,68,91,82.4,,
2012,PBM,2012-07-16,3,51,98,117,126,121,102.6,,
2012,PBM,2012-07-16,4,55,47,24,45,40,42.2,,
2012,PBM,2012-07-16,5,29,38,22,45,16,30,,
2012,CINNAMON,2012-07-23,1,43,35,25,23,51,35.4,,
2012,CINNAMON,2012-07-23,2,60,47,45,46,34,46.4,,
2012,CINNAMON,2012-07-23,3,27,43,26,23,33,30.4,,
2012,CINNAMON,2012-07-23,4,26,19,42,38,27,30.4,,
2012,CINNAMON,2012-07-23,5,19,16,18,17,17,17.4,,
2012,CBT,2012-07-24,1,47,20,51,33,31,36.4,,
2012,CBT,2012-07-24,2,12,17,39,28,43,27.8,,
2012,CBT,2012-07-24,3,45,19,27,29,42,32.4,,
2012,CBT,2012-07-24,4,31,40,37,37,49,38.8,,
2012,CBT,2012-07-24,5,43,32,37,33,52,39.4,,
2012,ROAD,2012-07-24,1,33,27,38,42,36,35.2,,
2012,ROAD,2012-07-24,2,40,37,35,50,28,38,,
2012,ROAD,2012-07-24,3,13,17,26,25,30,22.2,,
2012,ROAD,2012-07-24,4,7,14,31,31,23,21.2,,
2012,ROAD,2012-07-24,5,39,55,39,68,74,55,,
