site,lat,long,lat_long,elev
Almont,38.669888666666665,-106.84421066666667,"38.6699, -106.8442",2484
CBT,38.8818976676,-106.98026899019999,"38.8819, -106.9803",2699
Road,38.896899491199996,-106.97860073260001,"38.8969, -106.9786",2811
Pfeiler,38.9608656524,-107.0314421354,"38.9609, -107.0314",3171
PBM,38.969470887600004,-107.0409444164,"38.9695, -107.0409",3371
Cinnamon,38.991629138,-107.06637715500001,"38.9916, -107.0664",3458
